Disease,Number,Sponsor,Phase,Study Type,URL
Kidney Cancer,NCT00365768,Columbia University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00365768
Fallopian Tube Cancer,NCT00369954,Gynecologic Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00369954
Kidney Cancer,NCT00369564,University of South Florida,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00369564
Male Breast Cancer,NCT00368875,National Cancer Institute (NCI),Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00368875
Hodgkin Lymphoma,NCT01990534,"Millennium Pharmaceuticals, Inc.",Phase 4,Interventional,https://clinicaltrials.gov/show/NCT01990534
Mesothelioma,NCT02592551,Baylor College of Medicine,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02592551
Cholangiocarcinoma,NCT02592538,First People's Hospital of Hangzhou,N/A,Interventional,https://clinicaltrials.gov/show/NCT02592538
Fallopian Tube Cancer,NCT03924245,Vanderbilt-Ingram Cancer Center,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03924245
Thymic Carcinoma,NCT03921671,Marina Garassino,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03921671
Uveal Melanoma,NCT03922880,Memorial Sloan Kettering Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03922880
Hodgkin Lymphoma,NCT03923504,Virginia Commonwealth University,N/A,Interventional,https://clinicaltrials.gov/show/NCT03923504
Hodgkin Lymphoma,NCT03925935,Angiocrine Bioscience,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03925935
Hodgkin Lymphoma,NCT00850200,University of Florida,N/A,Interventional,https://clinicaltrials.gov/show/NCT00850200
Kidney Cancer,NCT00853021,"Jorge A. Garcia, MD",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00853021
Kidney Cancer,NCT00853125,"Rutgers, The State University of New Jersey",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00853125
Mesothelioma,NCT00859469,Columbia University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00859469
Leiomyosarcoma,NCT00856050,Dana-Farber Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00856050
Cholangiocarcinoma,NCT04076761,Sunnybrook Health Sciences Centre,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04076761
Fallopian Tube Cancer,NCT00217529,Fred Hutchinson Cancer Research Center,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00217529
Fallopian Tube Cancer,NCT00217555,Fred Hutchinson Cancer Research Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00217555
Parathyroid Carcinoma,NCT01460030,"Kyowa Kirin Co., Ltd.",Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01460030
Pleuropulmonary Blastoma,NCT01464606,Children's Hospitals and Clinics of Minnesota,N/A,Interventional,https://clinicaltrials.gov/show/NCT01464606
Cutaneous T Cell Lymphoma,NCT01460914,Dartmouth-Hitchcock Medical Center,None,Observational,https://clinicaltrials.gov/show/NCT01460914
Hodgkin Lymphoma,NCT03159897,Fondazione Italiana Linfomi ONLUS,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03159897
Pheochromocytoma,NCT03158870,Hospices Civils de Lyon,None,Observational,https://clinicaltrials.gov/show/NCT03158870
T-Cell Lymphoma,NCT00161590,Weill Medical College of Cornell University,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00161590
T-Cell Lymphoma,NCT00161239,University of Medicine and Dentistry of New Jersey,N/A,Interventional,https://clinicaltrials.gov/show/NCT00161239
Juvenile Myelomonocytic Leukemia,NCT00167219,"Masonic Cancer Center, University of Minnesota",Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00167219
Kidney Cancer,NCT01542333,Children's Oncology Group,None,Observational,https://clinicaltrials.gov/show/NCT01542333
Kidney Cancer,NCT01544569,Children's Oncology Group,None,Observational,https://clinicaltrials.gov/show/NCT01544569
Adrenocortical Carcinoma,NCT00924989,Astellas Pharma Inc,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00924989
Uveal Melanoma,NCT00929019,Radboud University,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00929019
Chondrosarcoma,NCT00543712,"Genentech, Inc.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00543712
Kidney Cancer,NCT00541008,UNICANCER,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00541008
Uveal Melanoma,NCT00540930,"Shields, Shields and Associates",Phase 4,Interventional,https://clinicaltrials.gov/show/NCT00540930
T-Cell Lymphoma,NCT00542919,Eli Lilly and Company,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00542919
Kidney Cancer,NCT00540969,Alliance for Clinical Trials in Oncology,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00540969
Cholangiocarcinoma,NCT00540735,"University Hospital, Angers",Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00540735
Hodgkin Lymphoma,NCT00543582,Mirati Therapeutics Inc.,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00543582
Fallopian Tube Cancer,NCT01100372,Medical University Innsbruck,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01100372
Kidney Cancer,NCT01105364,"National Cancer Institute, France",N/A,Interventional,https://clinicaltrials.gov/show/NCT01105364
Thymoma,NCT01100944,National Cancer Institute (NCI),Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01100944
Uveal Melanoma,NCT01801358,"Array Biopharma, now a wholly owned subsidiary of Pfizer",Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01801358
Hepatosplenic T-Cell Lymphoma,NCT01804166,"Janssen Scientific Affairs, LLC",Phase 4,Interventional,https://clinicaltrials.gov/show/NCT01804166
Adrenocortical Carcinoma,NCT04447014,National Cancer Institute (NCI),None,Observational,https://clinicaltrials.gov/show/NCT04447014
Primary Myelofibrosis,NCT04446650,Celgene,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04446650
Mucosal Melanoma,NCT03986515,Henan Cancer Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03986515
Fallopian Tube Cancer,NCT00538031,City of Hope Medical Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00538031
Hypopharyngeal Cancer,NCT04502641,Sun Yat-sen University,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT04502641
Kidney Cancer,NCT04508725,Stanford University,N/A,Interventional,https://clinicaltrials.gov/show/NCT04508725
Kaposi's Sarcoma,NCT01276236,"University of California, San Francisco",N/A,Interventional,https://clinicaltrials.gov/show/NCT01276236
Mesothelioma,NCT02610140,Bayer,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02610140
Mesothelioma,NCT02613299,Mayo Clinic,None,Observational,https://clinicaltrials.gov/show/NCT02613299
Mesothelioma,NCT02613312,Mayo Clinic,None,Observational,https://clinicaltrials.gov/show/NCT02613312
Fallopian Tube Cancer,NCT00052468,AGO Study Group,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00052468
Kaposi's Sarcoma,NCT00055237,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00055237
Fallopian Tube Cancer,NCT00053833,Southwest Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00053833
Kidney Cancer,NCT00053807,European Organisation for Research and Treatment of Cancer - EORTC,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00053807
Kidney Cancer,NCT00057889,National Institutes of Health Clinical Center (CC),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00057889
Kidney Cancer,NCT00053820,Medical Research Council,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00053820
Kidney Cancer,NCT00058318,Southwest Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00058318
Fallopian Tube Cancer,NCT00058435,Memorial Sloan Kettering Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00058435
Fallopian Tube Cancer,NCT00055614,Beth Israel Deaconess Medical Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00055614
Kidney Cancer,NCT00056095,UNICANCER,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00056095
Penile Cancer,NCT00058448,Southwest Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00058448
Thymoma,NCT04577495,IRCCS San Raffaele,None,Observational,https://clinicaltrials.gov/show/NCT04577495
Pheochromocytoma,NCT04573816,Assistance Publique - Hôpitaux de Paris,None,Observational,https://clinicaltrials.gov/show/NCT04573816
Hodgkin Lymphoma,NCT02589548,Universidade Federal do Rio de Janeiro,None,Observational,https://clinicaltrials.gov/show/NCT02589548
Primary Myelofibrosis,NCT02584777,Baxalta now part of Shire,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02584777
Cholangiocarcinoma,NCT02582541,The Second Hospital of Nanjing Medical University,N/A,Interventional,https://clinicaltrials.gov/show/NCT02582541
T-cell Lymphoma,NCT02588651,Deepa Jagadeesh,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02588651
Cholangiocarcinoma,NCT02585856,First People's Hospital of Hangzhou,N/A,Interventional,https://clinicaltrials.gov/show/NCT02585856
Hodgkin Lymphoma,NCT00736320,University of Cologne,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00736320
Cholangiocarcinoma,NCT00733200,Huazhong University of Science and Technology,N/A,Interventional,https://clinicaltrials.gov/show/NCT00733200
Hepatosplenic T-cell Lymphoma,NCT00731536,"Centocor Ortho Biotech Services, L.L.C.",None,Observational,https://clinicaltrials.gov/show/NCT00731536
Fallopian Tube Cancer,NCT00182767,National Cancer Institute (NCI),Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00182767
Kidney Cancer,NCT03977571,Frede Donskov,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03977571
Mesothelioma,NCT04429204,Jonsson Comprehensive Cancer Center,N/A,Interventional,https://clinicaltrials.gov/show/NCT04429204
Uveal Melanoma,NCT04424719,Institut Curie,N/A,Interventional,https://clinicaltrials.gov/show/NCT04424719
Leiomyosarcoma,NCT04420975,Jonsson Comprehensive Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT04420975
Leiomyosarcoma,NCT03773510,Italian Sarcoma Group,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03773510
Cholangiocarcinoma,NCT03779035,Tianjin Medical University Cancer Institute and Hospital,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03779035
Fallopian Tube Cancer,NCT03771651,University of Oklahoma,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03771651
Penile Cancer,NCT03774901,Centre Hospitalier Universitaire de Besancon,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03774901
Hodgkin Lymphoma,NCT00145600,St. Jude Children's Research Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00145600
Hodgkin Lymphoma,NCT03576378,Grupo Español de Linfomas y Transplante Autólogo de Médula Ósea,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03576378
Kidney Cancer,NCT03571438,"University Hospital, Grenoble",N/A,Interventional,https://clinicaltrials.gov/show/NCT03571438
Kidney Cancer,NCT01099423,European Organisation for Research and Treatment of Cancer - EORTC,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01099423
Fallopian Tube Cancer,NCT00993655,Canadian Cancer Trials Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00993655
Hodgkin Lymphoma,NCT00992030,Fondazione Michelangelo,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00992030
Mesothelioma,NCT00996385,Columbia University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00996385
Chondrosarcoma,NCT03173976,"Varun Monga, MD",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03173976
Mucosal Melanoma,NCT03178123,"Shanghai Junshi Bioscience Co., Ltd.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03178123
Hodgkin Lymphoma,NCT03179917,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03179917
Cholangiocarcinoma,NCT03172832,Medical University of South Carolina,N/A,Interventional,https://clinicaltrials.gov/show/NCT03172832
Pheochromocytoma,NCT03176693,"University of California, Los Angeles",Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03176693
Male Breast Cancer,NCT01222377,University of Southern California,N/A,Interventional,https://clinicaltrials.gov/show/NCT01222377
Hodgkin Lymphoma,NCT01221571,Affimed GmbH,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01221571
Insulinoma,NCT02560376,Peking Union Medical College Hospital,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02560376
Hodgkin Lymphoma,NCT00439361,M.D. Anderson Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00439361
Fallopian Tube Cancer,NCT00436501,National Cancer Institute (NCI),Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00436501
Adrenocortical Carcinoma,NCT00436410,National Institutes of Health Clinical Center (CC),Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00436410
Cholangiocarcinoma,NCT02128282,"Senhwa Biosciences, Inc.",Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02128282
Insulinoma,NCT02121366,Guangxi Medical University,N/A,Interventional,https://clinicaltrials.gov/show/NCT02121366
Primary Myelofibrosis,NCT02124746,"Sierra Oncology, Inc.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02124746
Ependymoma,NCT02125786,St. Jude Children's Research Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02125786
Male Breast Cancer,NCT01638247,German Breast Group,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01638247
Kidney Cancer,NCT00849186,Roswell Park Cancer Institute,N/A,Interventional,https://clinicaltrials.gov/show/NCT00849186
Hodgkin Lymphoma,NCT00846742,St. Jude Children's Research Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00846742
Kidney Cancer,NCT03857373,Nessn Azawi,None,Observational [Patient Registry],https://clinicaltrials.gov/show/NCT03857373
Cholangiocarcinoma,NCT03278106,Mayo Clinic,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03278106
Cholangiocarcinoma,NCT04521686,"Loxo Oncology, Inc.",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT04521686
Uveal Melanoma,NCT00596362,Memorial Sloan Kettering Cancer Center,N/A,Interventional,https://clinicaltrials.gov/show/NCT00596362
Mesothelioma,NCT00597116,"Genzyme, a Sanofi Company",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00597116
Fallopian Tube Cancer,NCT00753480,"Genentech, Inc.",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00753480
Primary Myelofibrosis,NCT01644110,University of Ulm,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01644110
Angiosarcoma,NCT02212015,Heidelberg University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02212015
Uveal Melanoma,NCT02936388,"Charite University, Berlin, Germany",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02936388
Plasma Cell Leukemia,NCT01328236,"Clinical Service, China",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01328236
Primary Myelofibrosis,NCT00931762,Novartis Pharmaceuticals,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00931762
Male Breast Cancer,NCT00937482,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00937482
Primary Myelofibrosis,NCT00935987,"Sierra Oncology, Inc.",Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00935987
Kidney Cancer,NCT00002846,Blumenthal Cancer Center at Carolinas Medical Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00002846
Kidney Cancer,NCT00002589,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00002589
Fallopian Tube Cancer,NCT00002960,Merck Sharp & Dohme Corp.,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00002960
Adrenocortical Carcinoma,NCT00002921,Southwest Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00002921
Kidney Cancer,NCT00003551,Emory University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003551
Fallopian Tube Cancer,NCT00003120,Southwest Oncology Group,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00003120
Ependymoma,NCT00003479,Burzynski Research Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003479
Kidney Cancer,NCT00003604,Cancer Biotherapy Research Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003604
Fallopian Tube Cancer,NCT00002895,Medical Research Council,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00002895
Kidney Cancer,NCT00003585,University of New Mexico,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003585
Kidney Cancer,NCT00005995,AEterna Zentaris,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00005995
Kidney Cancer,NCT00005056,Cancer Research UK,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00005056
Primitive Neuroectodermal Tumor,NCT00003515,Burzynski Research Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003515
Kidney Cancer,NCT00001238,National Cancer Institute (NCI),None,Observational,https://clinicaltrials.gov/show/NCT00001238
Kidney Cancer,NCT00003656,Weill Medical College of Cornell University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003656
Cutaneous T Cell Lymphoma,NCT00007345,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00007345
Fallopian Tube Cancer,NCT00003382,Gynecologic Oncology Group,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00003382
Kidney Cancer,NCT00006968,Jonsson Comprehensive Cancer Center,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00006968
Fallopian Tube Cancer,NCT00003896,Southwest Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003896
Kidney Cancer,NCT00003584,University of New Mexico,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003584
Hodgkin Lymphoma,NCT00002561,NCIC Clinical Trials Group,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00002561
Fallopian Tube Cancer,NCT00006391,NYU Langone Health,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00006391
Kidney Cancer,NCT00003664,Cancer Biotherapy Research Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003664
Kidney Cancer,NCT00006483,Alliance for Clinical Trials in Oncology,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00006483
Kidney Cancer,NCT00004244,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00004244
Kidney Cancer,NCT00003928,Case Comprehensive Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003928
Kidney Cancer,NCT00006864,Case Comprehensive Cancer Center,Phase 4,Interventional,https://clinicaltrials.gov/show/NCT00006864
Insulinoma,NCT00005910,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),N/A,Interventional,https://clinicaltrials.gov/show/NCT00005910
Kidney Cancer,NCT00003683,UNICANCER,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003683
Kidney Cancer,NCT00002611,Children's Oncology Group,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00002611
Kidney Cancer,NCT00002733,Hoag Memorial Hospital Presbyterian,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00002733
Kidney Cancer,NCT00005816,Duke University,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00005816
Kidney Cancer,NCT00005069,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00005069
Fallopian Tube Cancer,NCT00008138,Southwest Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00008138
Kidney Cancer,NCT00003542,Memorial Sloan Kettering Cancer Center,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003542
Kidney Cancer,NCT00004880,Jonsson Comprehensive Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00004880
Kidney Cancer,NCT00005045,Eastern Cooperative Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00005045
Kidney Cancer,NCT00003804,University of Leicester,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00003804
Fallopian Tube Cancer,NCT00003358,Memorial Sloan Kettering Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00003358
Fallopian Tube Cancer,NCT00002600,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00002600
Kidney Cancer,NCT00003968,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003968
Fallopian Tube Cancer,NCT00004012,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00004012
Fallopian Tube Cancer,NCT00005025,John Stoddard Cancer Center at Iowa Methodist Medical Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00005025
Kidney Cancer,NCT00005038,The Christie NHS Foundation Trust,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00005038
Kidney Cancer,NCT00006255,Case Comprehensive Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00006255
Kidney Cancer,NCT00005966,Eastern Cooperative Oncology Group,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00005966
Fallopian Tube Cancer,NCT00003636,European Organisation for Research and Treatment of Cancer - EORTC,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00003636
Fallopian Tube Cancer,NCT00004064,AltaRex,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00004064
Kidney Cancer,NCT00002610,Children's Oncology Group,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00002610
Kidney Cancer,NCT00003091,Hoag Memorial Hospital Presbyterian,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003091
Male Breast Cancer,NCT00005817,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00005817
T-cell Lymphoma,NCT00001582,National Cancer Institute (NCI),None,Observational,https://clinicaltrials.gov/show/NCT00001582
Fallopian Tube Cancer,NCT00003064,Herbert Irving Comprehensive Cancer Center,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003064
Kidney Cancer,NCT00002466,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00002466
Fallopian Tube Cancer,NCT00006942,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00006942
Fallopian Tube Cancer,NCT00003160,Theradex,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003160
Kidney Cancer,NCT00002737,European Organisation for Research and Treatment of Cancer - EORTC,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00002737
Fallopian Tube Cancer,NCT00004934,Nordic Society for Gynaecologic Oncology,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00004934
Fallopian Tube Cancer,NCT00006041,Memorial Sloan Kettering Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00006041
Kidney Cancer,NCT00003181,"Hope Cancer Institute, Inc.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003181
Fallopian Tube Cancer,NCT00003380,Gynecologic Oncology Group,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00003380
Kidney Cancer,NCT00004135,University of Chicago,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00004135
Kidney Cancer,NCT00002847,Blumenthal Cancer Center at Carolinas Medical Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00002847
Fallopian Tube Cancer,NCT00004060,"Daiichi Sankyo, Inc.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00004060
Chondrosarcoma,NCT00003292,Southwest Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003292
Kidney Cancer,NCT00003102,Ludwig Institute for Cancer Research,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003102
Fallopian Tube Cancer,NCT00003944,Fox Chase Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003944
Kidney Cancer,NCT00003126,Loyola University,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00003126
Fallopian Tube Cancer,NCT00006235,Gynecologic Oncology Group,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00006235
Fallopian Tube Cancer,NCT00003385,Gynecologic Oncology Group,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00003385
Kidney Cancer,NCT00003308,Eastern Cooperative Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003308
Adrenocortical Carcinoma,NCT00003038,Mayo Clinic,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00003038
Kidney Cancer,NCT00003390,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003390
Fallopian Tube Cancer,NCT00002538,Gynecologic Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00002538
Kidney Cancer,NCT00006384,City of Hope Medical Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00006384
Pheochromocytoma,NCT00001229,"National Heart, Lung, and Blood Institute (NHLBI)",None,Observational,https://clinicaltrials.gov/show/NCT00001229
Kidney Cancer,NCT00002473,European Organisation for Research and Treatment of Cancer - EORTC,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00002473
Adrenocortical Carcinoma,NCT00002608,Ottawa Regional Cancer Centre,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00002608
Fallopian Tube Cancer,NCT00003345,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003345
Fallopian Tube Cancer,NCT00003967,Gynecologic Oncology Group,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00003967
Kidney Cancer,NCT00005027,Barbara Ann Karmanos Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00005027
Kidney Cancer,NCT00003553,"National Heart, Lung, and Blood Institute (NHLBI)",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003553
Kidney Cancer,NCT00006022,Virginia Commonwealth University,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00006022
Pheochromocytoma,NCT00004847,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00004847
Kidney Cancer,NCT00003914,Mayo Clinic,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003914
Fallopian Tube Cancer,NCT00005645,"Genzyme, a Sanofi Company",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00005645
Fallopian Tube Cancer,NCT00006454,AGO Study Group,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00006454
Fallopian Tube Cancer,NCT00003634,AltaRex,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00003634
